,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Wewak,39,PG,1577896020,87,-3.55,143.63,78.42,9.42
1,Amberley,100,NZ,1577896021,100,-43.15,172.73,59.0,2.24
2,Torbay,90,CA,1577896022,92,47.66,-52.73,33.01,34.45
3,Tasiilaq,0,GL,1577896023,66,65.61,-37.64,12.2,28.86
4,Kenai,75,US,1577896024,71,60.55,-151.26,10.99,19.46
5,Awjilah,100,LY,1577896026,64,29.14,21.3,52.57,3.8
6,Odessa,1,US,1577896027,69,31.85,-102.37,42.8,10.29
7,Kruisfontein,11,ZA,1577896028,62,-34.0,24.73,75.4,19.51
8,Hamilton,90,CA,1577895805,79,43.26,-79.87,32.0,14.99
9,Port Elizabeth,75,US,1577896030,52,39.31,-74.98,46.99,10.29
10,Hilo,90,US,1577895918,68,19.71,-155.08,69.8,4.7
11,Stavanger,75,NO,1577896032,100,58.97,5.73,45.0,10.29
12,Busselton,56,AU,1577896033,48,-33.64,115.35,63.0,11.21
13,Ushuaia,100,AR,1577896035,32,-54.81,-68.31,68.0,17.22
14,Albany,75,US,1577896036,55,42.65,-73.75,37.4,8.05
15,Sao Filipe,100,CV,1577896037,61,14.9,-24.5,75.25,14.9
16,Ranong,47,TH,1577896038,79,9.96,98.62,79.97,10.33
17,Port Blair,0,IN,1577896039,80,11.67,92.75,82.09,13.71
18,Vaini,12,IN,1577896040,88,15.34,74.49,65.25,3.85
19,Rikitea,65,PF,1577896041,82,-23.12,-134.97,77.58,8.95
20,Kapaa,75,US,1577896042,64,22.08,-159.32,75.2,10.29
21,Mar del Plata,0,AR,1577896043,34,-46.43,-67.52,72.77,10.65
22,Jamestown,0,AU,1577895807,30,-33.21,138.6,66.6,11.48
23,Saint-Philippe,90,CA,1577896046,80,45.36,-73.48,34.0,16.11
24,Ebebiyin,75,GQ,1577896047,62,2.15,11.34,86.0,1.92
25,Victoria,75,BN,1577895785,78,5.28,115.24,82.4,3.36
26,Makakilo City,1,US,1577896049,93,21.35,-158.09,73.99,3.36
27,Kajaani,75,FI,1577896050,92,64.22,27.73,30.2,11.41
28,Mogadishu,0,SO,1577896051,79,2.04,45.34,81.46,21.61
29,Hohr-Grenzhausen,1,DE,1577896053,80,50.43,7.67,39.0,4.7
30,Cravo Norte,100,CO,1577896054,57,6.3,-70.2,85.98,13.09
31,Bredasdorp,37,ZA,1577896055,64,-34.53,20.04,75.99,12.75
32,Almaznyy,75,RU,1577896056,86,48.03,40.04,37.4,8.95
33,Port Alfred,100,ZA,1577896003,83,-33.59,26.89,70.0,5.01
34,Faanui,100,PF,1577896058,83,-16.48,-151.75,79.59,13.94
35,Mahebourg,75,MU,1577896059,83,-20.41,57.7,80.6,3.91
36,Ventspils,20,LV,1577896061,81,57.39,21.56,42.8,16.11
37,Chokurdakh,100,RU,1577896062,85,70.62,147.9,-22.65,1.79
38,Aguimes,0,ES,1577896063,45,27.91,-15.45,64.99,5.82
39,Brockville,40,CA,1577895777,83,44.59,-75.69,33.01,9.17
40,Iqaluit,90,CA,1577896065,77,63.75,-68.52,1.4,1.16
41,Punta Arenas,50,CL,1577895935,42,-53.16,-70.91,66.2,16.11
42,Latung,100,ID,1577896067,93,-8.45,120.42,68.95,2.06
43,Joplin,1,US,1577895955,36,37.08,-94.51,48.99,18.34
44,Menongue,92,AO,1577896070,72,-14.66,17.68,77.41,3.76
45,Dukat,0,AL,1577896071,37,40.25,19.57,55.0,3.0
46,Karaton,90,ID,1577896072,88,-6.34,106.1,80.01,17.22
47,Castro,0,CL,1577895837,53,-42.48,-73.76,71.6,6.93
48,Charlottetown,75,CA,1577896074,80,46.23,-63.13,34.0,13.87
49,North Bend,90,US,1577896075,100,43.41,-124.22,53.01,9.17
50,Fortuna,90,US,1577896076,93,40.6,-124.16,53.6,0.29
51,Khunzakh,49,RU,1577896077,67,42.55,46.71,26.02,3.09
52,Ayr,22,AU,1577896079,88,-19.58,147.4,73.99,6.22
53,Severo-Kurilsk,75,RU,1577896080,84,50.68,156.12,10.74,4.41
54,Yellowknife,90,CA,1577895807,84,62.45,-114.38,8.6,6.93
55,Iturama,100,BR,1577896082,61,-19.73,-50.2,85.77,5.5
56,Kodinsk,99,RU,1577896083,96,58.6,99.18,10.45,3.69
57,Flinders,90,AU,1577896084,93,-34.58,150.85,68.0,5.82
58,Rovaniemi,90,FI,1577896085,100,66.5,25.72,21.2,9.17
59,Qaanaaq,100,GL,1577896086,87,77.48,-69.36,-33.77,4.65
60,Barranquilla,40,CO,1577896088,62,10.98,-74.8,89.6,9.17
61,Marawi,31,PH,1577896089,90,8.0,124.29,75.99,4.0
62,Palaikastron,0,GR,1577896090,67,35.2,26.25,57.81,27.87
63,Lompoc,1,US,1577896091,93,34.64,-120.46,52.0,3.36
64,Moron,12,HT,1577896092,67,18.56,-74.26,80.65,3.06
65,Saskylakh,80,RU,1577896093,89,71.97,114.09,-15.75,11.12
66,Ponta do Sol,67,BR,1577896094,67,-20.63,-46.0,79.29,7.52
67,Taoudenni,0,ML,1577896095,13,22.68,-3.98,67.24,19.82
68,Nanortalik,0,GL,1577896097,51,60.14,-45.24,24.98,23.17
69,Sfantu Gheorghe,60,RO,1577896098,51,44.65,26.83,41.0,11.41
70,Severodvinsk,75,RU,1577896099,92,64.56,39.82,19.4,6.71
71,Birin,100,NP,1577896100,53,26.89,88.07,43.7,5.7
72,Umm Kaddadah,20,SD,1577896101,11,13.6,26.69,85.32,4.59
73,Toppenish,1,US,1577896102,76,46.38,-120.31,52.0,12.75
74,Yar-Sale,59,RU,1577896103,98,66.83,70.83,-4.47,6.82
75,Atuona,35,PF,1577896105,74,-9.8,-139.03,80.06,15.73
76,Caohai,68,CN,1577896106,61,26.87,104.28,45.81,8.7
77,Hermanus,0,ZA,1577896107,65,-34.42,19.24,80.01,10.0
78,Vung Tau,35,VN,1577896108,62,10.35,107.08,79.99,13.87
79,Ruwi,38,OM,1577896109,56,23.6,58.55,73.4,2.24
80,Upernavik,100,GL,1577896110,99,72.79,-56.15,-8.63,9.84
81,Simoes,94,BR,1577896111,54,-7.6,-40.82,83.66,10.31
82,Namatanai,100,PG,1577896112,75,-3.66,152.44,82.24,2.53
83,Mataura,100,NZ,1577896114,96,-46.19,168.86,53.01,5.01
